Abrangência;Cargo;Sexo;Qt Candidatos;Eleito;2º Turno;Não Eleito
ANDRADAS;Vereador;Feminino;33;0;0;33
ANDRADINA;Vereador;Masculino;158;14;0;144
ANDRADINA;Vereador;Feminino;66;1;0;65
ANDRÉ DA ROCHA;Vereador;Masculino;17;9;0;8
ANDRÉ DA ROCHA;Vereador;Feminino;8;0;0;8
ANDRELÂNDIA;Vereador;Masculino;42;7;0;35
ANDRELÂNDIA;Vereador;Feminino;20;2;0;18
ANGATUBA;Vereador;Masculino;68;7;0;61
ANGATUBA;Vereador;Feminino;34;2;0;32
ANGELÂNDIA;Vereador;Masculino;29;7;0;22
ANGELÂNDIA;Vereador;Feminino;17;2;0;15
ANGÉLICA;Vereador;Masculino;28;7;0;21
ANGÉLICA;Vereador;Feminino;14;2;0;12
ANGELIM;Vereador;Masculino;28;8;0;20
ANGELIM;Vereador;Feminino;16;1;0;15
ANGELINA;Vereador;Masculino;25;9;0;16
ANGELINA;Vereador;Feminino;12;0;0;12
ANGICAL;Vereador;Masculino;33;9;0;24
ANGICAL;Vereador;Feminino;16;0;0;16
ANGICAL DO PIAUÍ;Vereador;Masculino;29;7;0;22
ANGICAL DO PIAUÍ;Vereador;Feminino;15;2;0;13
ANGICO;Vereador;Masculino;15;7;0;8
ANGICO;Vereador;Feminino;10;2;0;8
ANGICOS;Vereador;Masculino;22;7;0;15
ANGICOS;Vereador;Feminino;12;2;0;10
ANGRA DOS REIS;Vereador;Masculino;173;12;0;161
ANGRA DOS REIS;Vereador;Feminino;85;2;0;83
ANGUERA;Vereador;Masculino;22;8;0;14
ANGUERA;Vereador;Feminino;12;1;0;11
ÂNGULO;Vereador;Masculino;32;8;0;24
ÂNGULO;Vereador;Feminino;14;1;0;13
ANHANGÜERA;Vereador;Masculino;20;9;0;11
ANHANGÜERA;Vereador;Feminino;10;0;0;10
ANHEMBI;Vereador;Masculino;28;8;0;20
ANHEMBI;Vereador;Feminino;14;1;0;13
ANHUMAS;Vereador;Masculino;29;7;0;22
ANHUMAS;Vereador;Feminino;15;2;0;13
ANICUNS;Vereador;Masculino;57;10;0;47
ANICUNS;Vereador;Feminino;28;1;0;27
